date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:12	36441/36441	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2005:42:12%20GMT	https://oleklawfirm.com/	D:/tools/olek/olek/oleklawfirm.com/index.html	(from )
12:42:12	85/85	---M-Z	200	added ('OK')	text/plain	date:Thu,%2029%20Jan%202026%2005:42:12%20GMT	https://oleklawfirm.com/robots.txt		(from )
12:42:13	2037/2037	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Apr%202020%2012:00:16%20GMT	http://oleklawfirm.com/editor_images/favicon.png	D:/tools/olek/olek/oleklawfirm.com/editor_images/favicon.png	(from https://oleklawfirm.com/)
12:42:14	89664/89664	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215e40-6mFohnHQwwRPLFsvLErwpmIKxsI%22	https://cdn.jsdelivr.net/npm/jquery@3.6.1/dist/jquery.min.js	D:/tools/olek/olek/cdn.jsdelivr.net/npm/jquery@3.6.1/dist/jquery.min.js	(from https://oleklawfirm.com/)
12:42:35	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	D:/tools/olek/olek/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://oleklawfirm.com/)
12:42:37	139837/139837	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202026%2015:15:12%20GMT	http://oleklawfirm.com/inc/live.css?v=4.7.7	D:/tools/olek/olek/oleklawfirm.com/inc/livea354.css	(from https://oleklawfirm.com/)
12:42:38	26353/26353	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2005:42:38%20GMT	http://oleklawfirm.com/about	D:/tools/olek/olek/oleklawfirm.com/about.html	(from https://oleklawfirm.com/)
12:42:40	40300/40300	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2005:42:38%20GMT	http://oleklawfirm.com/services	D:/tools/olek/olek/oleklawfirm.com/services.html	(from https://oleklawfirm.com/)
12:42:42	27676/27676	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2005:42:39%20GMT	http://oleklawfirm.com/contact	D:/tools/olek/olek/oleklawfirm.com/contact.html	(from https://oleklawfirm.com/)
12:42:43	50789/50789	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Nov%202025%2002:35:33%20GMT	http://oleklawfirm.com/data/files/oleklogo1.png	D:/tools/olek/olek/oleklawfirm.com/data/files/oleklogo1.png	(from https://oleklawfirm.com/)
